brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Amazing Creation,Meydan Rocks Eau De Parfum 100ml,"AED, ,140.00","AED, ,131.50, ",wrangle from name,wrangle from name,,noon,4,7.7K
Tiziana Terenzi,Draco Extrait De Parfum 100ml,319.95,,wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
DHAMMA,Aro-Fac Leather-84 Eau de Parfum 100 ml,"AED, ,99.00","AED, ,37.00, ",wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Rasasi,Feelings Eau de Parfum 60ml,"AED, ,175.00","AED, ,37.15, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
DHAMMA,Aro-Fac Eccento-1390 Eau de Parfum 100 ml,"AED, ,69.00","AED, ,37.00, ",wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Al Zaabiah,Baby Love Parfum 50ml,28.00,27.00,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Music de Parfum,Mi EDP 100ml,1380.00,420.30,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
DHAMMA,Aro-Fac Loban-46 Eau de Parfum 100 ml,"AED, ,37.00, ",,wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Al Zaabiah,Baby Love Parfum 50ml,27.00,,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Bottega Profumiera,2-Piece Shardana Eau De Parfum Set Multi-sizeml,"AED, ,684.00","AED, ,267.85, ",wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Bottega Profumiera,2-Piece Rose Poudre Eau De Parfum Set Multi-sizeml,"AED, ,684.00","AED, ,298.00, ",wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Tiziana Terenzi,Afrodite Extrait De Parfum Spray 100ml,"AED, ,682.00","AED, ,556.00, ",wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
HISTOIRES de PARFUMS,1804 EDP 120ml,1599.00,336.00,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
DHAMMA,Parfum D'Encens EDP 100ml,"AED, ,72.00","AED, ,40.40, ",wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Parfums Gres,Lumiere EDP 100ml,120.36,64.25,wrangle from name,wrangle from name,,Fragrance House,3.5,246
