name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
LENGLING Eisbach Perfume Spray EDP 50ml ,,,,Unisex,,,,,/uae-en/eisbach-perfume-spray-edp-50ml/N11075574A/p?o=e6aa1d456c39fc5b,,,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte Valere Bemine EDP 100ml ,,,,Men,,New,,,/uae-en/bemine-edp-100ml/N39900645A/p?o=ae9cfc21b391e57c,,Fresh,100 ml,,,,6287015120501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORESQUE Contessa Art Collection EDP 50ml ,"Ambroxan, Tonka Bean, Vanilla And Musk",,,Unisex,,,"Rose, Jasmine And Ylang-Ylang",,/uae-en/contessa-art-collection-edp-50ml/N11075671A/p?o=c0f36a99b9415fcf,,,50 ml,"Pink Pepper, Nutmeg, Bergamot And Star Anise","Floral, Musky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Adams Reincarnation EDP 100ml ,"Cedarwood, Sandalwood, White Musk, Ambergris",,United Arab Emirates (UAE),Men,,,"Origanum, Rose, Jasmine, Cyclamen",,/uae-en/reincarnation-edp-100ml/N38711911A/p?o=dc9270d8810103ac,,Fresh,100 ml,"Plum , Pineapple, Lime, Lemon, Bergamot",,,5621000001056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabeel Ustad EDP 100ml ,"Musk, Oakmoss, Coumarin",,United Arab Emirates (UAE),Men,Pump,,"Geranium, Ylang-ylang, Lavender, Artemisia, Clary Sage, Cinnamon",,/uae-en/ustad-edp-100ml/N38711937A/p?o=a0252670623fe0ba,,Oriental,,,,Yes,5621000002023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NISHANE ISTANBUL Africa Olifant EDP 50ml ,Musk and Synthetic Civet,,,Unisex,,,"Castoreum, Civet, Leather and Agarwood",,/uae-en/africa-olifant-edp-50ml/N11075739A/p?o=cd0ef2594508097b,,,50 ml,"Olibanum, Ambergris, Myrhh and Labdanum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noran Perfumes Kador 1929 Platinum EDP 100ml ,Musk,,,Unisex,,New,Jasmine,,/uae-en/kador-1929-platinum-edp-100ml/N39769441A/p?o=f62165f190ba13fe,,Woody,100 ml,Bergamot,,,6654788916219A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Rehab Prince Of Desert EDP 100ml ,,,,Women,,,,RP010173,/uae-en/prince-of-desert-edp-100ml/N26470756A/p?o=b0850d0c072650ba,,,100 ml,,,,RP010173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond No.9 West Broadway EDP 100ml ,,,,Women,,,,,/uae-en/west-broadway-edp-100ml/N11803596A/p?o=bb3b75bb7590a53e,,Musk,100 ml,"Lime, Musk and Lily-Of-The-Valley",,,98786581163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo Paris French Leather EDP 200ml ,,,,Unisex,,,,,/uae-en/french-leather-edp-200ml/N11756472A/p?o=d6150b318fac2916,,,200 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILIAN On Liaisons Dangereuse EDP 50ml ,"Vetiver, Musk, Sandalwood, Oak Moss, Woodsy Notes and Vanilla",,,Unisex,,,"Cinnamon, Geranium, Rose and Ambrette",,/uae-en/on-liaisons-dangereuse-edp-50ml/N11075393A/p?o=bfffb7335c48acbb,,,50 ml,"Peach, Black Currant, Coconut and Plum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xerjoff Oud Stars Gao EDP 50ml ,,,,Unisex,,,,,/uae-en/oud-stars-gao-edp-50ml/N11756540A/p?o=b168c7935161042a,,Woody,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM KARDASHIAN Fleur Fatale EDP 3.4ounce ,"Amber, Sandalwood And White Musk",,,Women,,,"Iris, Tea Rose And Peony",,/uae-en/fleur-fatale-edp-3-4ounce/N11805045A/p?o=e1d597afe1c893bd,,,3.4 ounce,"Mix of Black Currant, Bergamot And Violet","Floral, Woody, Musk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acqua Di Parisis Oud Couture EDP 100ml ,Oud,,,Women,,,Oud,,/uae-en/oud-couture-edp-100ml/N11803347A/p?o=ab7a0e3883eff0db,,Floral,100 ml,Oud,,,98786578419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Piguet Futur EDP 100ml ,,,,Unisex,,,,,/uae-en/piguet-futur-edp-100ml/N11756498A/p?o=ff363254679d061d,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM KARDASHIAN Perfume Spray EDP 100ml ,"Tonka Bean, Jacaranda Wood, Vanilla Orchid, Sexy Musk, Creamy Sandalwood",,,Women,,,"Pink Jasmine, Tuberose, Sensual Spices, Gardenia",,/uae-en/perfume-spray-edp-100ml/N11805050A/p?o=c4b2c9f8cf4d9efd,,Floral,100 ml,"Mandarin, Honeysuckle, Orange Blossom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6 x 1.7 x 4.6 inches,6.1 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANVIN PARIS Me EDP 50ml ,Sandalwood,,,Women,,,"Licorice, Tuberose and Rose",,/uae-en/me-edp-50ml/N11075567A/p?o=f734baa24411bfbf,,Floral,50 ml,Mandarin Orange and Blueberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENGLING Acqua Tempesta Perfume Spray EDP 50ml ,,,,Unisex,,,,,/uae-en/acqua-tempesta-perfume-spray-edp-50ml/N11075572A/p?o=a533ece2da5e5fab,,,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUAGE Dia EDP 100ml ,"Vanilla , Guaiac Wood , Incense , Heliotrope",,,Women,,,"Peony , Orange Blossom , Orris Root , Turkish Rose Oil , Peach Blossom",,/uae-en/dia-edp-100ml/N11803432A/p?o=a9a7f119ec2b63ac,,Woody,100 ml,"Aldehydes , Cyclamen , Tarragon , Violet Leaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILIAN Soul EDP 50ml ,,,,Unisex,,,,,/uae-en/soul-edp-50ml/N11075406A/p?o=adeee982cbdb1bee,,Fruity,50 ml,,,,,"Eucalyptus, Grapefruit, Tobacco, Mate, Birch, Cashmirwood, and Cardamom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANVIN PARIS Eclat d'Arpège EDP 100ml ,,,,Women,,,,,/uae-en/eclat-d-arp-ge-edp-100ml/N11805162A/p?o=ccdc34e26e8ab3de,,Floral,100 ml,,Floral-Fruity,,,,,,,,,"Cedar, Wisteria, Petitgrain, Chinese Osmanthus, Musk, Green Lilac, Amber, Tea Leaf, Peach Blossom, Peony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boadicea THE VICTORIOUS Dominant EDP 100ml ,"Amber, Papyrus, Oudh",,United Kingdom (UK),Unisex,Atomizer,,"Ginger, Clove, Jasmine",,/uae-en/dominant-edp-100ml/N12303315A/p?o=bffd35b79144bedc,,,100 ml,"Citrus, Orange",,,BTV6388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boadicea THE VICTORIOUS Ambitious EDP 100ml ,"Tonka Beans, Benzoin Siam, Indian Sandalwood, Patchouli Heart, Amber Crystals, White Musks",,United Kingdom (UK),Unisex,,,"Bulgarian Rose, Maroc Rose, Jasmin Egypt, Orris Butter",,/uae-en/ambitious-edp-100ml/N12303332A/p?o=dc7b723bccbbd48e,,Musk,100 ml,"Cardamom Guatemala, Coriander Russian, Geranium Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond No.9 Chinatown EDP 100ml ,"Patchouli, Cedar, Warm and Soft Vanilla, Sandalwood, Cardamom, and Guiac Wood",,,Women,,,"Gardenia, Honey and Sensual Sweet Tuberose, Peony and Orange Blossom",,/uae-en/chinatown-edp-100ml/N11803587A/p?o=b70d5f729ebfc62c,,,100 ml,Peach Blossoms and Bergamot,,,98786581151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 ounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
